Position,Const,Created,Modified,Description,Name,Known For,Birth Date
73,nm0000019,2016-07-18,2016-07-18,"1962 – La Dolce Vita
1964 – 8½
1971 – Fellini Satyricon
1976 – Amarcord",Federico Fellini,8½,1920-01-20
74,nm0496746,2016-07-18,2016-07-18,1962 – The Guns of Navarone,J. Lee Thompson,The Guns of Navarone,1914-08-01
75,nm0314584,2016-07-18,2016-07-18,1963 – Divorce Italian Style,Pietro Germi,Il ferroviere,1914-09-14
76,nm0612322,2016-07-18,2016-07-18,1963 – To Kill a Mockingbird,Robert Mulligan,To Kill a Mockingbird,1925-08-23
77,nm0671957,2016-07-18,2016-07-18,"1963 – The Miracle Worker
1968 – Bonnie and Clyde
1970 – Alice's Restaurant",Arthur Penn,Bonnie and Clyde,1922-09-27
78,nm0675068,2016-07-18,2016-07-18,1963 – David and Lisa,Frank Perry,Mommie Dearest,1930-08-21
79,nm0724798,2016-07-18,2016-07-18,1964 – [b]Tom Jones[/b],Tony Richardson,A Taste of Honey,1928-06-05
80,nm0728688,2016-07-18,2016-07-18,1964 – Hud,Martin Ritt,Hud,1914-03-02
81,nm0322706,2016-07-18,2016-07-18,1965 – Becket,Peter Glenville,Term of Trial,1913-10-28
82,nm0000040,2016-07-18,2016-07-18,"1965 – Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb
1969 – 2001: A Space Odyssey
1972 – A Clockwork Orange
1976 – Barry Lyndon",Stanley Kubrick,2001: A Space Odyssey,1928-07-26
83,nm0829038,2016-07-18,2016-07-18,1965 – Mary Poppins,Robert Stevenson,Mary Poppins,1905-03-31
84,nm0128050,2016-07-18,2016-07-18,1965 – Zorba the Greek,Michael Cacoyannis,Alexis Zorbas,1922-06-11
85,nm0772259,2016-07-18,2016-07-18,"1966 – Darling
1970 – [b]Midnight Cowboy[/b]
1972 – Sunday Bloody Sunday",John Schlesinger,Midnight Cowboy,1926-02-16
86,nm0856267,2016-07-18,2016-07-18,1966 – The Woman in the Dunes,Hiroshi Teshigahara,Suna no onna,1927-01-28
87,nm0000774,2016-07-18,2016-07-18,1967 – Blowup,Michelangelo Antonioni,L'avventura,1912-09-29
88,nm0500988,2016-07-18,2016-07-18,1967 – A Man and a Woman,Claude Lelouch,Un homme et une femme,1937-10-30
89,nm0001566,2016-07-18,2016-07-19,"1967 – Who's Afraid of Virginia Woolf?
1968 – [b]The Graduate[/b]
1984 – Silkwood
1989 – Working Girl",Mike Nichols,The Graduate,1931-11-06
90,nm0422484,2016-07-18,2016-07-19,"1968 – In the Heat of the Night
1972 – Fiddler on the Roof
1988 – Moonstruck",Norman Jewison,Jesus Christ Superstar,1926-07-21
91,nm0690597,2016-07-18,2016-07-18,1969 – The Battle of Algiers,Gillo Pontecorvo,La battaglia di Algeri,1919-11-19
92,nm0367431,2016-07-18,2016-07-18,1969 – The Lion in Winter,Anthony Harvey,The Lion in Winter,1930-06-03
93,nm0001874,2016-07-18,2016-07-18,1969 – Romeo and Juliet,Franco Zeffirelli,Romeo and Juliet,1923-02-12
94,nm0001351,2016-07-18,2016-07-18,"1970 – Butch Cassidy and the Sundance Kid
1974 – [b]The Sting[/b]",George Roy Hill,The Sting,1921-12-20
95,nm0001628,2016-07-18,2016-07-19,"1970 – They Shoot Horses, Don't They?
1983 – Tootsie
1986 – [b]Out of Africa[/b]",Sydney Pollack,Tootsie,1934-07-01
96,nm0002020,2016-07-18,2016-07-18,1970 – Z,Costa-Gavras,Z,1933-02-12
97,nm0769874,2016-07-18,2016-07-18,1971 – [b]Patton[/b],Franklin J. Schaffner,Patton,1920-05-30
98,nm0000265,2016-07-18,2016-07-19,"1971 – MASH
1976 – Nashville
1993 – The Player
1994 – Short Cuts
2002 – Gosford Park",Robert Altman,Gosford Park,1925-02-20
99,nm0002137,2016-07-18,2016-07-18,1971 – Love Story,Arthur Hiller,Love Story,1923-11-22
100,nm0001692,2016-07-18,2016-07-18,1971 – Women in Love,Ken Russell,The Devils,1927-07-03
101,nm0001243,2016-07-18,2016-07-18,"1972 – [b]The French Connection[/b]
1974 – The Exorcist",William Friedkin,To Live and Die in L.A.,1935-08-29
102,nm0000953,2016-07-18,2016-07-18,1972 – The Last Picture Show,Peter Bogdanovich,The Last Picture Show,1939-07-30
103,nm0002080,2016-07-18,2016-07-18,"1973 – [b]Cabaret[/b]
1975 – Lenny
1980 – All That Jazz",Bob Fosse,Cabaret,1927-06-23
104,nm0000958,2016-07-18,2016-07-19,"1973 – Deliverance
1988 – Hope and Glory",John Boorman,Hope and Glory,1933-01-18
105,nm0000338,2016-07-18,2016-07-19,"1973 – The Godfather
1975 – [b]The Godfather Part II[/b]
1980 – Apocalypse Now
1991 – The Godfather Part III",Francis Ford Coppola,Apocalypse Now,1939-04-07
106,nm0873296,2016-07-18,2016-07-18,1973 – The Emigrants,Jan Troell,Här har du ditt liv,1931-07-23
107,nm0000184,2016-07-18,2016-07-18,"1974 – American Graffiti
1978 – Star Wars",George Lucas,Star Wars,1944-05-14
108,nm0000005,2016-07-18,2016-07-19,"1974 – Cries and Whispers
1977 – Face to Face
1984 – Fanny and Alexander",Ingmar Bergman,Persona,1918-07-14
109,nm0000934,2016-07-18,2016-07-19,"1974 – Last Tango in Paris
1988 – [b]The Last Emperor[/b]",Bernardo Bertolucci,Il conformista,1941-03-16
110,nm0001023,2016-07-18,2016-07-18,1975 – A Woman Under the Influence,John Cassavetes,Love Streams,1929-12-09
111,nm0000591,2016-07-18,2016-07-19,"1975 – Chinatown
1981 – Tess
2003 – [b]The Pianist[/b]",Roman Polanski,Chinatown,1933-08-18
112,nm0000076,2016-07-18,2016-07-18,1975 – Day for Night,François Truffaut,La nuit américaine,1932-02-06
113,nm0001232,2016-07-18,2016-07-19,"1976 – [b]One Flew Over the Cuckoo's Nest[/b]
1985 – [b]Amadeus[/b]
1997 – The People vs. Larry Flynt",Milos Forman,One Flew Over the Cuckoo's Nest,1932-02-18
114,nm0000814,2016-07-18,2016-07-18,1977 – [b]Rocky[/b],John G. Avildsen,Rocky,1935-12-21
115,nm0001587,2016-07-18,2016-07-18,1977 – All the President's Men,Alan J. Pakula,Sophie's Choice,1928-04-07
116,nm0921631,2016-07-18,2016-07-18,1977 – Seven Beauties,Lina Wertmüller,Pasqualino Settebellezze,1928-08-14
117,nm0000095,2016-07-18,2016-07-19,"1978 – [b]Annie Hall[/b]
1979 – Interiors
1985 – Broadway Danny Rose
1986 – Hannah and Her Sisters
1990 – Crimes and Misdemeanors
1995 – Bullets over Broadway
2012 – Midnight in Paris",Woody Allen,Manhattan,1935-12-01
118,nm0000229,2016-07-18,2016-07-19,"1978 – Close Encounters of the Third Kind
1982 – Raiders of the Lost Ark
1983 – E.T. the Extra-Terrestrial
1994 – [b]Schindler's List[/b]
1999 – [b]Saving Private Ryan[/b]
2006 – Munich
2013 – Lincoln",Steven Spielberg,Schindler's List,1946-12-18
119,nm0006889,2016-07-18,2016-07-18,1978 – The Turning Point,Herbert Ross,"Play It Again, Sam",1927-05-13
120,nm0001047,2016-07-18,2016-07-18,1979 – [b]The Deer Hunter[/b],Michael Cimino,The Deer Hunter,1939-02-03
121,nm0000797,2016-07-18,2016-07-18,1979 – Coming Home,Hal Ashby,Harold and Maude,1929-09-02
122,nm0000886,2016-07-18,2016-07-18,"1979 – Heaven Can Wait
1982 – [b]Reds[/b]",Warren Beatty,Reds,1937-03-30
123,nm0377750,2016-07-18,2016-07-18,1979 – Heaven Can Wait,Buck Henry,The Graduate,1930-12-09
124,nm0000570,2016-07-18,2016-07-19,"1979 – Midnight Express
1989 – Mississippi Burning",Alan Parker,Evita,1944-02-14
125,nm0000914,2016-07-18,2016-07-19,"1980 – [b]Kramer vs. Kramer[/b]
1985 – Places in the Heart",Robert Benton,Kramer vs. Kramer,1932-09-29
126,nm0946811,2016-07-18,2016-07-19,"1980 – Breaking Away
1984 – The Dresser",Peter Yates,Krull,1929-07-24
127,nm0596850,2016-07-18,2016-07-18,1980 – La Cage aux Folles,Édouard Molinaro,The Birdcage,1928-05-13
128,nm0000602,2016-07-18,2016-07-19,"1981 – [b]Ordinary People[/b]
1995 – Quiz Show",Robert Redford,The Natural,1936-08-18
129,nm0000186,2016-07-18,2016-07-19,"1981 – The Elephant Man
1987 – Blue Velvet
2002 – Mulholland Dr.",David Lynch,Twin Peaks,1946-01-20
130,nm0000217,2016-07-18,2020-06-09,"1981 – Raging Bull
1989 – The Last Temptation of Christ
1991 – Goodfellas
2003 – Gangs of New York
2005 – The Aviator
2007 – [b]The Departed[/b]
2012 – Hugo
2014 – The Wolf of Wall Street
2020 – The Irishman",Martin Scorsese,Taxi Driver,1942-11-17
131,nm0750701,2016-07-18,2016-07-18,1981 – The Stunt Man,Richard Rush,The Stunt Man,1929-04-15
132,nm0001501,2016-07-18,2016-07-18,1982 – Atlantic City,Louis Malle,Au revoir les enfants,1932-10-30
133,nm0399853,2016-07-18,2016-07-18,1982 – Chariots of Fire,Hugh Hudson,Chariots of Fire,1936-08-25
134,nm0041932,2016-07-18,2016-07-18,1982 – On Golden Pond,Mark Rydell,The Long Goodbye,1929-03-23
135,nm0000277,2016-07-19,2016-07-19,1983 – [b]Gandhi[/b],Richard Attenborough,Jurassic Park,1923-08-29
136,nm0000583,2016-07-19,2016-07-19,1983 – Das Boot,Wolfgang Petersen,Das Boot,1941-03-14
137,nm0000985,2016-07-19,2016-07-19,1984 – [b]Terms of Endearment[/b],James L. Brooks,Broadcast News,1940-05-09
138,nm0000915,2016-07-19,2016-07-19,1984 – Tender Mercies,Bruce Beresford,Driving Miss Daisy,1940-08-16
139,nm0423646,2016-07-19,2016-07-19,"1985 – The Killing Fields
1987 – The Mission",Roland Joffé,The Mission,1945-11-17
140,nm0002199,2016-07-19,2016-07-19,1986 – Kiss of the Spider Woman,Hector Babenco,Carandiru,1946-02-07
141,nm0000041,2016-07-19,2016-07-19,1986 – Ran,Akira Kurosawa,Kakushi-toride no san-akunin,1910-03-23
142,nm0001837,2016-07-19,2016-07-19,"1986 – Witness
1990 – Dead Poets Society
1999 – The Truman Show
2004 – Master and Commander: The Far Side of the World",Peter Weir,Master and Commander: The Far Side of the World,1944-08-21
143,nm0000231,2016-07-19,2016-07-19,"1987 – [b]Platoon[/b]
1990 – [b]Born on the Fourth of July[/b]
1992 – JFK",Oliver Stone,JFK,1946-09-15
144,nm0412465,2016-07-19,2016-07-19,"1987 – A Room with a View
1993 – Howards End
1994 – The Remains of the Day",James Ivory,Call Me by Your Name,1928-06-07
145,nm0002120,2016-07-19,2016-07-19,"1988 – My Life as a Dog
2000 – The Cider House Rules",Lasse Hallström,What's Eating Gilbert Grape,1946-06-02
146,nm0001490,2016-07-19,2016-07-19,1988 – Fatal Attraction,Adrian Lyne,Jacob's Ladder,1941-03-04
147,nm0001469,2016-07-19,2016-07-19,"1989 – [b]Rain Man[/b]
1992 – Bugsy",Barry Levinson,Rain Man,1942-04-06
148,nm0187769,2016-07-19,2016-07-19,1989 – A Fish Called Wanda,Charles Crichton,A Fish Called Wanda,1910-08-06
149,nm0000110,2016-07-19,2016-07-19,1990 – Henry V,Kenneth Branagh,Henry V,1960-12-10
150,nm0006487,2016-07-19,2016-07-19,"1990 – My Left Foot
1994 – In the Name of the Father",Jim Sheridan,In America,1949-02-06
151,nm0000126,2016-07-19,2016-07-19,1991 – [b]Dances with Wolves[/b],Kevin Costner,The Postman,1955-01-18
152,nm0001241,2016-07-19,2016-07-19,"1991 – The Grifters
2007 – The Queen",Stephen Frears,Dangerous Liaisons,1941-06-20
153,nm0775447,2016-07-19,2016-07-19,1991 – Reversal of Fortune,Barbet Schroeder,La Virgen de los Sicarios,1941-08-26
154,nm0001129,2016-07-19,2016-07-19,1992 – [b]The Silence of the Lambs[/b],Jonathan Demme,The Silence of the Lambs,1944-02-22
155,nm0005436,2016-07-19,2016-07-19,1992 – Boyz n the Hood,John Singleton,Boyz n the Hood,1968-01-06
156,nm0000631,2016-07-19,2016-07-19,"1992 – Thelma & Louise
2001 – Gladiator
2002 – Black Hawk Down",Ridley Scott,The Martian,1937-11-30
157,nm0000142,2016-07-19,2016-07-19,"1993 – [b]Unforgiven[/b]
2004 – Mystic River
2005 – [b]Million Dollar Baby[/b]
2007 – Letters from Iwo Jima",Clint Eastwood,Million Dollar Baby,1930-05-31
158,nm0001403,2016-07-19,2016-07-19,1993 – The Crying Game,Neil Jordan,The Crying Game,1950-02-25
159,nm0000976,2016-07-19,2016-07-19,1993 – Scent of a Woman,Martin Brest,Scent of a Woman,1951-08-08
160,nm0001005,2016-07-19,2016-07-19,1994 – The Piano,Jane Campion,Bright Star,1954-04-30
161,nm0000709,2016-07-19,2016-07-19,1995 – [b]Forrest Gump[/b],Robert Zemeckis,Back to the Future,1951-05-14
162,nm0000233,2016-07-19,2020-06-09,"1995 – Pulp Fiction
2010 – Inglourious Basterds
2020 – Once Upon a Time in Hollywood",Quentin Tarantino,Reservoir Dogs,1963-03-27
163,nm0001425,2016-07-19,2016-07-19,1995 – Three Colors: Red,Krzysztof Kieslowski,Trois couleurs: Bleu,1941-06-27
164,nm0000154,2016-07-19,2017-05-02,"1996 – [b]Braveheart[/b]
2017 – Hacksaw Ridge",Mel Gibson,Braveheart,1956-01-03
165,nm0003088,2016-07-19,2016-07-19,1996 – Babe,Chris Noonan,Babe,1952-11-14
166,nm0000209,2016-07-19,2016-07-19,1996 – Dead Man Walking,Tim Robbins,Mystic River,1958-10-16
167,nm0001214,2016-07-19,2016-07-19,1996 – Leaving Las Vegas,Mike Figgis,Leaving Las Vegas,1948-02-28
168,nm0705535,2016-07-19,2016-07-19,1996 – Il Postino: The Postman,Michael Radford,Nineteen Eighty-Four,1946-02-24
169,nm0005237,2016-07-19,2016-07-19,1997 – [b]The English Patient[/b],Anthony Minghella,The Talented Mr. Ripley,1954-01-06
170,nm0001054,2016-07-19,2016-07-19,"1997 – Fargo
2008 – [b]No Country for Old Men[/b]
2011 – True Grit",Joel Coen,The Ballad of Buster Scruggs,1954-11-29
171,nm0005139,2016-07-19,2016-07-19,"1997 – Secrets & Lies
2005 – Vera Drake",Mike Leigh,Secrets & Lies,1943-02-20
172,nm0382956,2016-07-19,2016-07-19,1997 – Shine,Scott Hicks,Shine,1953-03-04
173,nm0000116,2016-07-19,2016-07-19,"1998 – [b]Titanic[/b]
2010 – Avatar",James Cameron,Avatar,1954-08-16
174,nm0146341,2016-07-19,2016-07-19,1998 – The Full Monty,Peter Cattaneo,The Full Monty,1964-07-01
175,nm0001814,2016-07-19,2016-07-19,"1998 – Good Will Hunting
2009 – Milk",Gus Van Sant,Elephant,1952-07-24
176,nm0000436,2016-07-19,2016-07-19,1998 – L.A. Confidential,Curtis Hanson,L.A. Confidential,1945-03-24
177,nm0000382,2016-07-19,2016-07-19,1998 – The Sweet Hereafter,Atom Egoyan,The Sweet Hereafter,1960-07-19
178,nm0000905,2016-07-19,2016-07-19,1999 – Life Is Beautiful,Roberto Benigni,La vita è bella,1952-10-27
179,nm0006960,2016-07-19,2016-07-19,1999 – Shakespeare in Love,John Madden,Shakespeare in Love,1949-04-08
180,nm0000517,2016-07-19,2016-07-19,"1999 – The Thin Red Line
2012 – The Tree of Life",Terrence Malick,Badlands,1943-11-30
181,nm0005222,2016-07-19,2020-06-09,"2000 – [b]American Beauty[/b]
2020 – 1917",Sam Mendes,1917,1965-08-01
182,nm0005069,2016-07-19,2016-07-19,2000 – Being John Malkovich,Spike Jonze,Her,1969-10-22
183,nm0000520,2016-07-19,2016-07-19,2000 – The Insider,Michael Mann,The Insider,1943-02-05
184,nm0796117,2016-07-19,2016-07-19,2000 – The Sixth Sense,M. Night Shyamalan,Lady in the Water,1970-08-06
185,nm0001752,2016-07-19,2016-07-19,"2001 – [b]Traffic[/b]
2001 – Erin Brockovich",Steven Soderbergh,"Sex, Lies, and Videotape",1963-01-14
186,nm0197636,2016-07-19,2016-07-19,"2001 – Billy Elliot
2003 – The Hours
2009 – The Reader",Stephen Daldry,The Reader,1960-05-02
187,nm0000487,2016-07-19,2016-07-19,"2001 – Crouching Tiger, Hidden Dragon
2006 – [b]Brokeback Mountain[/b]
2013 – [b]Life of Pi[/b]",Ang Lee,Wo hu cang long,1954-10-23
