Position,Const,Created,Modified,Description,Name,Known For,Birth Date
73,nm0000093,2016-12-11,2020-01-13,"Once Upon a Time in Hollywood, Moneyball, The Curious Case of Benjamin Button, 12 Monkeys",Brad Pitt,Ad Astra,1963-12-18
74,nm0001626,2016-12-11,2018-01-23,"All the Money in the World, Beginners, The Last Station",Christopher Plummer,Beginners,1929-12-13
75,nm0000335,2016-12-11,2021-03-17,"Hillbilly Elegy, The Wife, Albert Nobbs, Dangerous Liaisons, Fatal Attraction, The Natural, The Big Chill, The World According to Garp",Glenn Close,Fatal Attraction,1947-03-19
76,nm0205626,2016-12-11,2021-03-17,"Ma Rainey's Black Bottom, Fences, Doubt, The Help",Viola Davis,Fences,1965-08-11
77,nm0931329,2016-12-11,2017-01-24,"Manchester by the Sea, My Week with Marilyn, Blue Valentine, Brokeback Mountain",Michelle Williams,My Week with Marilyn,1980-09-09
78,nm0818055,2016-12-11,2018-01-23,"The Shape of Water, Hidden Figures, The Help",Octavia Spencer,Hidden Figures,1970-05-25
79,nm0067367,2016-12-11,2016-12-11,The Artist,Bérénice Bejo,The Artist,1976-07-07
80,nm0565250,2016-12-11,2019-01-22,"Can You Ever Forgive Me?, Bridesmaids",Melissa McCarthy,The Heat,1970-08-26
81,nm0005216,2016-12-11,2016-12-11,"Albert Nobbs, Tumbleweeds",Janet McTeer,Albert Nobbs,1961-08-05
82,nm0000110,2016-12-11,2016-12-11,"My Week with Marilyn, Henry V",Kenneth Branagh,Henry V,1960-12-10
83,nm0000560,2016-12-11,2016-12-11,"Warrior, Affliction, The Prince of Tides",Nick Nolte,Warrior,1941-02-08
84,nm0001884,2016-12-11,2016-12-11,"Extremely Loud and Incredibly Close, Pelle the Conqueror",Max von Sydow,Flash Gordon,1929-04-10
85,nm0000147,2016-12-11,2016-12-11,"The King's Speech, A Single Man",Colin Firth,A Single Man,1960-09-10
86,nm0000849,2016-12-11,2022-02-10,"Being the Ricardos, Biutiful, No Country for Old Men, Before Night Falls",Javier Bardem,Skyfall,1969-03-01
87,nm0000313,2016-12-11,2017-01-24,"Hell or High Water, True Grit, Crazy Heart, The Contender, Starman, Thunderbolt and Lightfoot, The Last Picture Show",Jeff Bridges,The Big Lebowski,1949-12-04
88,nm0251986,2016-12-11,2016-12-11,The Social Network,Jesse Eisenberg,The Social Network,1983-10-05
89,nm0290556,2016-12-11,2016-12-11,127 Hours,James Franco,Spring Breakers,1978-04-19
90,nm0000204,2016-12-11,2017-01-24,"Jackie, Black Swan, Closer",Natalie Portman,Black Swan,1981-06-09
91,nm0000906,2016-12-11,2016-12-11,"The Kids Are All Right, Being Julia, American Beauty, The Grifters",Annette Bening,American Beauty,1958-05-29
92,nm0000173,2016-12-11,2022-02-10,"Being the Ricardos, Lion, Rabbit Hole, The Hours, Moulin Rouge!",Nicole Kidman,Moulin Rouge!,1967-06-20
93,nm0370035,2016-12-11,2016-12-11,Winter's Bone,John Hawkes,The Sessions,1959-09-11
94,nm0719637,2016-12-11,2016-12-11,"The Town, The Hurt Locker",Jeremy Renner,The Hurt Locker,1971-01-07
95,nm0001691,2016-12-11,2016-12-11,"The King's Speech, Quills, Shakespeare in Love, Shine",Geoffrey Rush,The King's Speech,1951-07-06
96,nm0502425,2016-12-11,2016-12-11,"The Fighter, Frozen River",Melissa Leo,The Fighter,1960-09-14
97,nm0000307,2016-12-11,2016-12-11,"The King's Speech, The Wings of the Dove",Helena Bonham Carter,Sweeney Todd: The Demon Barber of Fleet Street,1966-05-26
98,nm2794962,2016-12-11,2016-12-11,True Grit,Hailee Steinfeld,True Grit,1996-12-11
99,nm0000151,2016-12-11,2016-12-11,"Invictus, Million Dollar Baby, The Shawshank Redemption, Driving Miss Daisy, Street Smart",Morgan Freeman,Invictus,1937-06-01
100,nm0000545,2016-12-11,2016-12-11,"The Last Station, The Queen, Gosford Park, The Madness of King George",Helen Mirren,The Queen,1945-07-26
101,nm1659547,2016-12-11,2021-03-17,"Promising Young Woman, An Education",Carey Mulligan,Never Let Me Go,1985-05-28
102,nm2829737,2016-12-11,2016-12-11,Precious,Gabourey Sidibe,Precious,1983-05-06
103,nm0000437,2016-12-11,2018-01-23,"Three Billboards Outside Ebbing Missouri, The Messenger, The People vs. Larry Flynt",Woody Harrelson,True Detective,1961-07-23
104,nm0001804,2016-12-11,2016-12-11,The Lovely Bones,Stanley Tucci,Big Night,1960-11-11
105,nm0594898,2016-12-11,2016-12-11,Precious,Mo'Nique,Precious,1967-12-11
106,nm0004851,2016-12-11,2022-02-10,"Parallel Mothers, Nine, Vicky Christina Barcelona, Volver",Penélope Cruz,Vicky Cristina Barcelona,1974-04-28
107,nm0267812,2016-12-11,2016-12-11,Up in the Air,Vera Farmiga,Up in the Air,1973-08-06
108,nm0350454,2016-12-11,2016-12-11,Crazy Heart,Maggie Gyllenhaal,Secretary,1977-11-16
109,nm0447695,2016-12-11,2016-12-11,Up in the Air,Anna Kendrick,Up in the Air,1985-08-09
110,nm0000576,2016-12-11,2016-12-11,"Milk, Mystic River, I Am Sam, Sweet and Lowdown, Dead Man Walking",Sean Penn,Mystic River,1960-08-17
111,nm0420955,2016-12-11,2018-01-23,"The Shape of Water, The Visitor",Richard Jenkins,The Shape of Water,1947-05-04
112,nm0001449,2016-12-11,2016-12-11,Frost/Nixon,Frank Langella,Frost/Nixon,1938-01-01
113,nm0000620,2016-12-11,2016-12-11,The Wrestler,Mickey Rourke,Sin City,1952-09-16
114,nm0001401,2016-12-11,2016-12-11,"Changeling, Girl Interrupted",Angelina Jolie,"Girl, Interrupted",1975-06-04
115,nm0005132,2016-12-11,2016-12-11,"The Dark Knight, Brokeback Mountain",Heath Ledger,Brokeback Mountain,1979-04-04
116,nm0000982,2016-12-11,2016-12-11,Milk,Josh Brolin,Avengers: Endgame,1968-02-12
117,nm0788335,2016-12-11,2017-01-24,"Nocturnal Animals, Revolutionary Road",Michael Shannon,Take Shelter,1974-08-07
118,nm0378245,2016-12-11,2016-12-11,The Curious Case of Benjamin Button,Taraji P. Henson,The Curious Case of Benjamin Button,1970-09-11
119,nm0000673,2016-12-11,2016-12-11,"The Wrestler, In the Bedroom, My Cousin Vinny",Marisa Tomei,My Cousin Vinny,1964-12-04
120,nm0000136,2016-12-11,2016-12-11,"Sweeney Todd: The Demon Barber of Fleet Street, Finding Neverland, The Pirates of the Caribbean: The Curse of the Black Pearl",Johnny Depp,Sweeney Todd: The Demon Barber of Fleet Street,1963-06-09
121,nm0001557,2016-12-11,2019-01-22,"Green Book, Captain Fantastic, Eastern Promises",Viggo Mortensen,The Lord of the Rings: The Return of the King,1958-10-20
122,nm0001046,2016-12-11,2016-12-11,"Away From Her, Afterglow, McCabe and Mrs. Miller, Darling",Julie Christie,Doctor Zhivago,1940-04-14
123,nm0001473,2016-12-11,2016-12-11,"The Savages, Kinsey, You Can Count on Me",Laura Linney,The Big C,1964-02-05
124,nm0680983,2016-12-11,2016-12-11,Juno,Elliot Page,Juno,1987-02-21
125,nm0000729,2016-12-11,2017-01-24,"Manchester by the Sea, The Assassination of Jesse James by the Coward Robert Ford",Casey Affleck,Gone Baby Gone,1975-08-12
126,nm0001358,2016-12-11,2016-12-11,Into the Wild,Hal Holbrook,Into the Wild,1925-02-17
127,nm0929489,2016-12-11,2016-12-11,"Michael Clayton, In the Bedroom",Tom Wilkinson,Michael Clayton,1948-02-05
128,nm0842770,2016-12-11,2016-12-11,Michael Clayton,Tilda Swinton,We Need to Talk About Kevin,1960-11-05
129,nm0002039,2016-12-11,2016-12-11,American Gangster,Ruby Dee,American Gangster,1922-10-27
130,nm0752407,2016-12-11,2016-12-11,Gone Baby Gone,Amy Ryan,Gone Baby Gone,1968-05-03
131,nm0001845,2016-12-11,2016-12-11,The Last King of Scotland,Forest Whitaker,The Last King of Scotland,1961-07-15
132,nm0331516,2016-12-11,2016-12-11,Half Nelson,Ryan Gosling,La La Land,1980-11-12
133,nm0000564,2016-12-11,2016-12-11,"Venus, My Favorite Year, The Stunt Man, The Ruling Class, Goodbye Mr. Chips, The Lion in Winter, Beckett, Lawrence of Arabia",Peter O'Toole,Lawrence of Arabia,1932-08-02
134,nm0000226,2016-12-11,2022-02-10,"King Richard, The Pursuit of Happyness, Ali",Will Smith,The Fresh Prince of Bel-Air,1968-09-25
135,nm0355097,2016-12-11,2016-12-11,Little Children,Jackie Earle Haley,Watchmen,1961-07-14
136,nm0005023,2016-12-11,2016-12-11,"Blood Diamond, In America",Djimon Hounsou,Blood Diamond,1964-04-24
137,nm0000552,2016-12-11,2016-12-11,Dreamgirls,Eddie Murphy,The Nutty Professor,1961-04-03
138,nm0000242,2016-12-11,2016-12-11,The Departed,Mark Wahlberg,The Fighter,1971-06-05
139,nm1617685,2016-12-11,2016-12-11,Dreamgirls,Jennifer Hudson,Dreamgirls,1981-09-12
140,nm0056770,2016-12-11,2016-12-11,Babel,Adriana Barraza,Babel,1956-03-05
141,nm1113550,2016-12-11,2016-12-11,Little Miss Sunshine,Abigail Breslin,Little Miss Sunshine,1996-04-14
142,nm0452860,2016-12-11,2016-12-11,Babel,Rinko Kikuchi,Babel,1981-01-06
143,nm0005024,2016-12-11,2016-12-11,Hustle & Flow,Terrence Howard,Crash,1969-03-11
144,nm0000657,2016-12-11,2016-12-11,Good Night and Good Luck,David Strathairn,"Good Night, and Good Luck.",1949-01-26
145,nm0005031,2016-12-11,2016-12-11,Transamerica,Felicity Huffman,Transamerica,1962-12-09
146,nm0000234,2016-12-11,2020-01-13,"Bombshell, North Country, Monster",Charlize Theron,Monster,1975-08-07
147,nm0001838,2016-12-11,2019-01-22,"The Favourite, The Constant Gardner",Rachel Weisz,The Constant Gardener,1970-03-07
148,nm0001416,2016-12-11,2016-12-11,"Capote, Being John Malkovich",Catherine Keener,Being John Malkovich,1959-03-23
149,nm0000531,2016-12-11,2021-03-17,"Nomadland, Three Billboards Outside Ebbing Missouri, North Country, Almost Famous, Fargo, Mississippi Burning",Frances McDormand,"Three Billboards Outside Ebbing, Missouri",1957-06-23
150,nm0004937,2016-12-11,2016-12-11,"Ray, Collateral",Jamie Foxx,Ray,1967-12-13
151,nm0000332,2016-12-11,2016-12-11,Hotel Rwanda,Don Cheadle,Crash,1964-11-29
152,nm0000142,2016-12-11,2016-12-11,"Million Dollar Baby, Unforgiven",Clint Eastwood,Million Dollar Baby,1930-05-31
153,nm0005476,2016-12-11,2016-12-11,"Million Dollar Baby, Boys Don't Cry",Hilary Swank,Million Dollar Baby,1974-07-30
154,nm1503432,2016-12-11,2016-12-11,Maria Full of Grace,Catalina Sandino Moreno,Maria Full of Grace,1981-04-19
155,nm0001767,2016-12-11,2016-12-11,Vera Drake,Imelda Staunton,Vera Drake,1956-01-09
156,nm0000257,2016-12-11,2016-12-11,The Aviator,Alan Alda,M*A*S*H,1936-01-28
157,nm0002006,2016-12-11,2016-12-11,Sideways,Thomas Haden Church,Sideways,1960-06-17
158,nm0654110,2016-12-11,2016-12-11,Closer,Clive Owen,Children of Men,1964-10-03
159,nm0000515,2016-12-11,2016-12-11,Sideways,Virginia Madsen,Sideways,1961-09-11
160,nm0645683,2016-12-11,2016-12-11,Hotel Rwanda,Sophie Okonedo,Hotel Rwanda,1968-08-11
161,nm0001426,2016-12-11,2016-12-11,"House of Sand and Fog, Gandhi, Bugsy, Sexy Beast",Ben Kingsley,Sexy Beast,1943-12-31
162,nm0000179,2016-12-11,2016-12-11,"Cold Mountain, The Talented Mr. Ripley",Jude Law,The Talented Mr. Ripley,1972-12-29
163,nm0000195,2016-12-11,2016-12-11,Lost in Translation,Bill Murray,Lost in Translation,1950-09-21
164,nm1095720,2016-12-11,2016-12-11,Whale Rider,Keisha Castle-Hughes,Whale Rider,1990-03-24
165,nm0000473,2016-12-11,2016-12-11,"Something's Gotta Give, Marvin's Room, Reds, Annie Hall",Diane Keaton,Annie Hall,1946-01-05
166,nm0608090,2016-12-11,2016-12-11,"In America, Sweet and Lowdown",Samantha Morton,Minority Report,1977-05-13
167,nm0000209,2016-12-11,2016-12-11,Mystic River,Tim Robbins,Mystic River,1958-10-16
168,nm0000285,2016-12-11,2016-12-11,The Cooler,Alec Baldwin,The Departed,1958-04-03
169,nm0001125,2016-12-11,2016-12-11,"21 Grams, Traffic",Benicio Del Toro,Sicario,1967-02-19
170,nm0913822,2016-12-11,2016-12-11,The Last Samurai,Ken Watanabe,The Last Samurai,1959-10-21
171,nm0000250,2016-12-11,2020-01-13,"Judy, Cold Mountain, Chicago, Bridget Jones's Diary",Renée Zellweger,Chicago,1969-04-25
172,nm0013037,2016-12-11,2016-12-11,House of Sand and Fog,Shohreh Aghdashloo,House of Sand and Fog,1952-05-11
173,nm0165101,2016-12-11,2016-12-11,Pieces of April,Patricia Clarkson,The Station Agent,1959-12-29
174,nm0001315,2016-12-11,2016-12-11,"Mystic River, Pollock",Marcia Gay Harden,Mystic River,1959-08-14
175,nm0000456,2016-12-11,2016-12-11,"Thirteen, The Firm, The Piano, Broadcast News",Holly Hunter,Broadcast News,1958-03-20
176,nm0004778,2016-12-11,2016-12-11,The Piano,Adrien Brody,The Pianist,1973-04-14
177,nm0000115,2016-12-11,2016-12-11,"Adaptation, Leaving Las Vegas",Nicolas Cage,Face/Off,1964-01-07
178,nm0000323,2016-12-11,2016-12-11,"The Quiet American, The Cider House Rules, Hannah and Her Sisters, Educating Rita, Sleuth, Alfie",Michael Caine,The Dark Knight,1933-03-14
179,nm0000197,2016-12-11,2016-12-11,"About Schmidt, As Good As it Gets, A Few Good Men, Ironweed, Prizzi's Honor, Terms of Endearment, Reds, One Flew Over the Cuckoo's Nest, Chinatown, The Last Detail, Five Easy Pieces, Easy Rider",Jack Nicholson,Chinatown,1937-04-22
180,nm0000161,2016-12-11,2016-12-11,Frida,Salma Hayek,Frida,1966-09-02
181,nm0000178,2016-12-11,2016-12-11,Unfaithful,Diane Lane,Unfaithful,1965-01-22
182,nm0177933,2016-12-11,2016-12-11,Adaptation,Chris Cooper,Adaptation.,1951-07-09
183,nm0000438,2016-12-11,2016-12-11,"The Hours, Pollock, The Truman Show, Apollo 13",Ed Harris,The Truman Show,1950-11-28
184,nm0000056,2016-12-11,2016-12-11,"Road to Perdition, Nobody's Fool, The Color of Money, The Verdict, Absence of Malice, Cool Hand Luke, Hud, The Hustler, Cat on a Hot Tin Roof",Paul Newman,The Hustler,1925-01-26
185,nm0000604,2016-12-11,2016-12-11,Chicago,John C. Reilly,Chicago,1965-05-24
186,nm0000686,2016-12-11,2016-12-11,"Catch Me if You Can, The Deer Hunter",Christopher Walken,The Deer Hunter,1943-03-31
187,nm0001876,2016-12-11,2016-12-11,Chicago,Catherine Zeta-Jones,Chicago,1969-09-25
188,nm0000870,2016-12-11,2020-01-13,"Richard Jewell, About Schmidt, Primary Colors, Misery",Kathy Bates,Misery,1948-06-28
189,nm0001451,2016-12-11,2016-12-11,Chicago,Queen Latifah,Chicago,1970-03-18
190,nm0000128,2016-12-11,2016-12-11,"The Insider, A Beautiful Mind, Gladiator",Russell Crowe,Les Misérables,1964-04-07
191,nm0000932,2016-12-11,2016-12-11,Monster's Ball,Halle Berry,Catwoman,1966-08-14
192,nm0000651,2016-12-11,2016-12-11,"In the Bedroom, Crimes of the Heart, The River, Coal Miner's Daughter, Missing, Carrie",Sissy Spacek,In the Bedroom,1949-12-25
193,nm0000980,2016-12-11,2016-12-11,Iris,Jim Broadbent,Moulin Rouge!,1949-05-24
194,nm0005212,2016-12-11,2016-12-11,"The Lord of the Rings: The Fellowship of the Ring, Gods and Monsters",Ian McKellen,The Lord of the Rings: The Fellowship of the Ring,1939-05-25
195,nm0000685,2016-12-11,2016-12-11,"Ali, Runaway Train, Coming Home, Midnight Cowboy",Jon Voight,Midnight Cowboy,1938-12-29
196,nm0000124,2016-12-11,2016-12-11,A Beautiful Mind,Jennifer Connelly,A Beautiful Mind,1970-12-12
197,nm0001749,2016-12-11,2016-12-11,"Gosford Park, A Room with a View, California Suite, Travels with My Aunt, The Prime of Miss Jean Brodie, Othello",Maggie Smith,Gosford Park,1934-12-28
198,nm0000158,2016-12-11,2020-01-13,"A Beautiful Day in the Neighborhood, Cast Away, Saving Private Ryan, Forrest Gump, Philadelphia, Big",Tom Hanks,Cast Away,1956-07-09
199,nm0000260,2016-12-11,2016-12-11,"The Contender, The Crucible, Nixon",Joan Allen,Room,1956-08-20
200,nm0000300,2016-12-11,2016-12-11,"Chocolat, The English Patient",Juliette Binoche,The English Patient,1964-03-09
201,nm0000995,2016-12-11,2016-12-11,"Requiem for a Dream, Resurrection, Same Time Next Year, Alice Doesn't Live Here Anymore, The Exorcist, The Last Picture Show",Ellen Burstyn,Requiem for a Dream,1932-12-07
202,nm0000353,2016-12-11,2019-01-22,"At Eternity's Gate, The Florida Project, Shadow of the Vampire, Platoon",Willem Dafoe,At Eternity's Gate,1955-07-22
203,nm0001215,2016-12-11,2016-12-11,"Erin Brockovich, Under the Volcano, The Dresser, Murder on the Orient Express, Tom Jones",Albert Finney,Erin Brockovich,1936-05-09
204,nm0005028,2016-12-11,2016-12-11,Almost Famous,Kate Hudson,Almost Famous,1979-04-19
205,nm0910278,2016-12-11,2016-12-11,"Billy Elliot, Educating Rita",Julie Walters,Billy Elliot,1950-02-22
206,nm0000228,2016-12-11,2016-12-11,"American Beauty, The Usual Suspects",Kevin Spacey,The Usual Suspects,1959-07-26
207,nm0002070,2016-12-11,2016-12-12,"The Straight Story, Comes a Horseman",Richard Farnsworth,The Straight Story,1920-09-01
208,nm0000129,2016-12-11,2016-12-11,"Magnolia, Jerry Maguire, Born on the Fourth of July",Tom Cruise,Top Gun,1962-07-03
209,nm0003817,2016-12-11,2016-12-11,The Green Mile,Michael Clarke Duncan,The Green Mile,1957-12-10
